locus,title,description,function,product
BSU_03860,ycnD,"NADPH-FMN oxidoreductase,delivers reduced FMN to enzymes that require the reduced cofactor for activity",delivery of FMN to enzymes,"NADPH-FMN oxidoreductase"
BSU_13730,queD,"6-pyruvoyltetrahydropterin synthase,synthesis of the modified ribonucleotide queuosine",tRNA modification,6-pyruvoyltetrahydropterin synthase
BSU_15930,rnc,"RNase III; required for the degradation of sense/antisense transcripts in Gram positive,low GC bacteria",processing and degradation of RNA molecules,endoribonuclease III
BSU_38430,gspA,"general stress protein,similar to glycosyl transferase",unknown,general stress protein
BSU_28770,araL,"sugar phosphate phosphatase,L-arabinose operon",detoxification of accidental accumulation of phosphorylated metabolites,sugar phosphate phosphatase
BSU_18200,nrnB,"oligoribonuclease (nano-RNase),degradation of pGpG",degradation of RNA oligonucleotides,nano-RNase B
BSU_29880,malS,"malate dehydrogenase (decarboxylating),forms a transhydrogenation cycle with [[protein|YtsJ ]]for balancing of NADPH",malate utilization,malate dehydrogenase (decarboxylating)
BSU_39230,wapA,"cell wall-associated protein precursor,contact-dependent growth inhibition protein",intercellular competition,cell wall-associated protein precursor
BSU_15810,spoVM,"required for normal spore cortex and coat synthesis,inhibits the proteolytic activity of [[protein|FtsH ]](adaptor protein)",initiation of spore coat assembly,spore coat morphogenetic protein
BSU_12840,pit,"low-affinity inorganic phosphate transporter,proton symporter",phosphate uptake,low-affinity inorganic phosphate transporter
BSU_13880,glcT,"transcriptional antiterminator,controls expression of the [[gene|B5E7EB475434E96786C577AE709A21BD702733D8]]-[[gene|29B793660E4D30C0656248F3EF403FEF76FB9025]]-[[gene|14ED1AF5038F43F3B151FCBABE6CFC5A2DA3AA6E]] operon",control of glucose uptake,transcriptional antiterminator of the [[gene|B5E7EB475434E96786C577AE709A21BD702733D8]]-[[gene|29B793660E4D30C0656248F3EF403FEF76FB9025]]-[[gene|14ED1AF5038F43F3B151FCBABE6CFC5A2DA3AA6E]] operon
BSU_02820,rapJ,"response regulator aspartate phosphatase,dephosphorylates [[protein|9896B99346B0D3F6D57F57377DB253B46135A37A]]-P",control of the [wiki|phosphorelay],response regulator aspartate phosphatase
BSU_07800,treP,"trehalose permease of the [wiki|phosphotransferase systems|phosphotransferase system],EIIBC of the [[category|SW.1.2.2|PTS]]",trehalose uptake and phosphorylation,trehalose-specific [[category|SW.1.2.2|PTS]] permease
BSU_40560,yybP,"membrane protein,may be involved in manganese detoxification",unknown,unknown
BSU_34300,epsH,"undecaprenyl (UnDP) priming UDP-N-acetyl-glucosamine transferase,synthesis of extracellular poly-N-acetylglucosamine",synthesis of extracellular poly-N-acetylglucosamine,undecaprenyl (UnDP) priming UDP-N-acetyl-glucosamine transferase
BSU_39300,yxiD,"LXG toxin,non-specific metal-dependent RNase",competetion with other bacteria in biofilms,LXG toxin
BSU_05899,ydhU/2,"similar to Mn catalase,inactive pseudogene in strain 168",unknown,unknown
BSU_09550,mpfA,"primary magnesium efflux pump,mutation suppresses defects in 70 S ribosome formation",export of magnesium,magnesium efflux pump
BSU_misc_RNA_82,rnaC,"small RNA,controls [[protein|E5110D9C36E8C55AFD1419987B14A53232165F20]] expression",control of [[protein|E5110D9C36E8C55AFD1419987B14A53232165F20]]-mediated heterogeneity,small RNA
BSU_27009,yrzP,"unknown,putative pseudogene",unknown,unknown
BSU_31640,mrpE,"Na<sup>+</sup>/H<sup>+</sup> antiporter subunit,multiple resistance and pH homeostasis",sodium export,Na<sup>+</sup>/H<sup>+</sup> antiporter subunit
BSU_24620,tasA,"major component of biofilm matrix,forms amyloid fibers",[wiki|biofilm formation],major component of biofilm matrix
BSU_01390,infA,"translation initiation factor IF-1,binds to 30S ribosome subunits to facilitate initiator tRNA binding",translation,initiation factor IF-1
BSU_07220,yetL,"transcriptional repressor of [[gene|A70EA4AEBF46ED2279E8BCE8A28439078484B6E3]] and [[gene|BFAFC2CFA7F2FDA639B367C579E2A46242BA3DBD]],induction in response to flavonoids",regulation of [[gene|A70EA4AEBF46ED2279E8BCE8A28439078484B6E3]] expression,transcription repressor ([wiki|MarR family])
BSU_38760,cydA,"cytochrome bd ubiquinol oxidase (subunit I),high affinity terminal oxidase",respiration,cytochrome bd ubiquinol oxidase (subunit I)
BSU_06083,ydzW/7,"putative phosphomannomutase,N-terminal part of YdzW",unknown,unknown
BSU_33620,yvaK,"general stress protein,carboxylesterase",unknown,unknown
BSU_39129,yxzI,"unknown,putative pseudogene",unknown,unknown
BSU_02440,glnK,"two-component sensor kinase,regulation of the [[gene|1A415DC85354373EA4866733C3AE43F510BD3C56]]-[[gene|E371BC4F613C40CB0E8C8CAA97387F3E6735D813]] operon",regulation of the [[gene|1A415DC85354373EA4866733C3AE43F510BD3C56]]-[[gene|E371BC4F613C40CB0E8C8CAA97387F3E6735D813]] operon,two-component sensor kinase
BSU_22910,motI,"c-di-GMP receptor protein,inhibits flagellar rotation at high c-di-GMP concentrations",control of [[protein|MotA ]]activity,c-di-GMP receptor protein
BSU_03830,fpbQ,"petrobactin (3.4-catecholate siderophore) [wiki|ABC transporter]  (binding protein),major component of the secretome",[wiki|acquisition of iron],petrobactin [wiki|ABC transporter]  (binding protein)
BSU_16340,fliO,"part of the flagellar type III export apparatus (flagellar Type III secretion system),part of the CORE complex required for flagellum and nanotube assembly",flagellum and nanotube assembly,part of the type III CORE export apparatus
BSU_10670,gerPF,"spore germination protein,facilitates access of nutrient germinants to their cognate germinant receptors in spores’ inner membrane",germination,unknown
BSU_39720,iolE,"2-keto-myo-inositol dehydratase,dehydration of 2-keto-myo-inositol (2nd reaction)",myo-inositol catabolism,2-keto-myo-inositol dehydratase
BSU_35220,minJ,"topological determinant of [wiki|cell division],part of the Min system (with Z ring placement)",[wiki|cell division] site selection,topological determinant of [wiki|cell division]
BSU_38220,ywcC,"transcription repressor ([wiki|TetR family]),controls [[gene|C17C296F3EB2E106C380E3B5D784F3FA63F4C9B7]] expression",control of [[gene|C17C296F3EB2E106C380E3B5D784F3FA63F4C9B7]] expression,transcription repressor ([wiki|TetR family])
BSU_10720,gerPA,"spore germination protein,facilitates access of nutrient germinants to their cognate germinant receptors in spores’ inner membrane",germination,unknown
BSU_32970,yusY,"similar to oligoendopeptidase,inactive pseudogene",unknown,unknown
BSU_00540,fin,"[wiki|RNA polymerase]-binding protein,feedback inhibitor of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]] activity",control of [wiki|sporulation],feedback inhibitor of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]] activity
BSU_31321,mstX,"membrane-integrating protein for membrane protein expression,MISTIC",unknown,MISTIC
BSU_29630,refZ,"regulator of [[protein|FtsZ ]]([wiki|TetR family]),facilitates switch from medial to polar [[protein|FtsZ ]]ring placement during sporulation",relocalization of the [[protein|FtsZ ]]ring,placement of the sporulation septum
BSU_19190,desK,"two-component sensor kinase,regulation of  cold shock expression of [[gene|644C0C354B72FC07222EE45F4D2E0E57434B5EB5]]",regulation of  cold shock expression of [[gene|644C0C354B72FC07222EE45F4D2E0E57434B5EB5]],two-component sensor kinase
BSU_35340,fliD,"filament cap,serves as an extracytoplasmic chaperone required for polymerization of [[protein|E0BB77C8F1220E931D16A1FA6B75AE8907C76FDB|flagellin]] into the helical filament",[[category|SW.4.1.1]],extracytoplasmic chaperone required for polymerization of [[protein|E0BB77C8F1220E931D16A1FA6B75AE8907C76FDB|flagellin]]
BSU_35110,yvlC,"similar to phage shock protein C,involved in resistance to nisin",resistance to nisin,unknown
BSU_34960,yvoF,"heptaprenylglycerol processing acetyltransferase,required for ether lipid synthesis",ether lipid synthesis,heptaprenylglycerol processing acetyltransferase
BSU_39220,wapI,"immunity protein,protects the cell against the toxic activity of WapA",intercellular competition,immunity protein
BSU_03890,gabR,"transcription activator of [[gene|4E1FD02C6FE4103E3B4942BF5221C062CB8D0B9B]]-[[gene|A0BEB92D54799956A4ADE106A1388E5710141069]],repressor of [[gene|gabR ]]([wiki|MocR/ GabR family])",regulation of gamma-amino butyric acid utilization,transcription regulator
BSU_29100,phoR,"two-component sensor kinase,regulation of phosphate metabolism",regulation of phosphate metabolism,two-component sensor kinase
BSU_25140,cshB,"DEAD-box RNA helicase,important for adaptation to low temperatures",RNA helicase,DEAD-box RNA helicase
BSU_05410,ydfH,"two-component sensor kinase,control of [[gene|1B61298ECA583D2112AA56A88358E8A9A55D2C9D]] expression",control of [[gene|1B61298ECA583D2112AA56A88358E8A9A55D2C9D]] expression,two-component sensor kinase (NarL family)
BSU_33910,pgm,"phosphoglycerate mutase,glycolytic / gluconeogenic enzyme",enzyme in glycolysis / gluconeogenesis,2
BSU_18910,rapK,"response regulator aspartate phosphatase,controls [[protein|ComA ]]activity",control of [[protein|ComA ]]activity,response regulator aspartate phosphatase
BSU_25530,spoIIP,"cell wall hydrolase with both amidase and endopeptidase activities,required for dissolution of the septal cell wall",NA,cell wall hydrolase
BSU_22350,dnaD,"initiation of chromosome replication,part of the [wiki|replisome]",[[category|SW.3.1.1]],initiation of chromosome replication
BSU_00840,mcsA,"modulator of [[protein|908DB17A39D518E84977250C55825E77FA02E391]]-dependent repression,[[protein|CA0939064E70A97434FA450A69E779FD89880613]] activates kinase activity of [[protein|7B1B664A1AE1F641E8E7D9E2894D5C8FFFA92948]]",control of [[protein|908DB17A39D518E84977250C55825E77FA02E391]] activity,activator of [[protein|7B1B664A1AE1F641E8E7D9E2894D5C8FFFA92948]] kinase activity
BSU_04630,ssdC,"MucB/RseB-like protein,affects the assembly of the spore cortex adnd spore shape",assembly of the spore cortex,spore shape determinant C
BSU_21710,ypnP,"putative damage inducible,Na+ driven multidrug efflux pump",unknown,putative damage inducible
BSU_20860,aimR,"part of the arbitrium peptide-based communication system,phage SP beta lytic/lysogenic regulator",control of phage SP beta lysogeny,SP beta arbitrium transcription factor
BSU_25290,era,"GTP-binding protein,involved in the assembly of the 30S ribosomal subunit",ribosome assembly,GTP-binding protein
BSU_18170,yngA,"flippase,transports the glucose-phosphate moiety of C<sub>55</sub>-P-Glc across the membrane",glycosylation of teichoic acids,flippase for teichoic acid glycosylation
BSU_25050,yqgA,"unknown,genetically related to the cell wall-degrading dl-endopeptidases",unknown,unknown
BSU_08950,yhbE,"bactofilin,required for flagellar hook- and filament assembly",assembly of the flagellar hook and filament,bactofilin
BSU_36870,atpB,"ATP synthase,part of the Fo complex (subunit a)",ATP synthesis,ATP synthase (subunit a))
BSU_16190,flgC,"flagellar basal-body rod protein,required for the assembly of the flagellar hook and filament",movement and chemotaxis,flagellar basal-body rod protein
BSU_38310,ywbI,"transcriptional regulator ([wiki|LysR family]),activator of the [[gene|7DA08C189F5524D4874E2F4828264AB2671A5460]]-[[gene|2940E73F0BCAB69992BBD224402C95C2667757AD]] operon",control of expression of the [[gene|7DA08C189F5524D4874E2F4828264AB2671A5460]]-[[gene|2940E73F0BCAB69992BBD224402C95C2667757AD]] operon,transcriptional regulator ([wiki|LysR family])
BSU_41000,gidB,"7-methylguanosine methyltransferase specific for the 16S rRNA,glucose-inhibited division protein",rRNA modification,7-methylguanosine methyltransferase specific for the 16S rRNA
BSU_29010,speD,"S-adenosylmethionine decarboxylase,required for biofilm formation",spermidine,polyamine biosynthesis
BSU_17080,pksA,"transcriptional regulator ([wiki|TetR family]),not involved in the regulation of the pks operon!",unknown,transcriptional regulator ([wiki|TetR family])
BSU_14060,fadH,"2,4-dienoyl-CoA reductase",fatty acid degradation,2
BSU_27840,safA,"morphogenetic protein associated with [[protein|6698BB092E03BEF48AFD0CBF565410109CD1ABB5]],major organizer of the inner spore coat",spore coat formation,morphogenetic protein
BSU_40579,yyzL,"unknown,putative pseudogene",unknown,unknown
BSU_33480,bdbD,"thiol-disulfide oxidoreductase,required for the formation of thiol disulfide bonds in several proteins",oxidative folding of proteins,thiol-disulfide oxidoreductase
BSU_37150,pyrG,"CTP synthase (NH<sub>3</sub>,glutamine)",pyrimidine biosynthesis,CTP synthase (NH3
BSU_25690,sda,"developmental checkpoint protein,controls the phosphorylation status of [[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]",mediates a developmental checkpoint coupling initiation of [[category|SW.4.2]] (phosphorylation of [[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]])to the function of replication initiation proteins,developmental checkpoint protein
BSU_23610,nudF,"involved in isopentenol (isoprenoid) biosynthesis,has RNA pyrophosphohydrolase activity",isoprenoid biosynthesis,unknown
BSU_36240,ptpZ,"phosphotyrosine protein phosphatase,antagonist to [[protein|6100EA37592A2C31BC3DE79AD7948A8D6F65F6E1]]",protein tyrosine dephosphorylation,phosphotyrosine protein phosphatase
BSU_23000,ypbE,"peptidoglycan-binding protein,likely involved in sidewall synthesis during cell growth",unknown,unknown
BSU_00900,ispD,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,third step in the MEP pathway of isoprenoid biosynthesis",MEP pathway of isoprenoid biosynthesis,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
BSU_09259,yhzG,"unknown,putative pseudogene",unknown,unknown
BSU_26290,yqaJ,"similar to phage-related protein,skin element",unknown,unknown
BSU_19230,azoR1,"azoreductase,involved in quinone detoxification",quinone detoxification,azoreductase
BSU_27120,sigV,"[wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigV,required for resistance to lytic enzymes",resistance to lytic enzymes,[wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigV
BSU_09690,nhaX,"general stress protein,putative regulator of [[protein|A7F1B4C0D32E18773170BFBEEB94E5EF55C7DB97]]",unknown,unknown
BSU_05330,aseR,"transcriptional repressor of the [wiki|ArsR family],of [[gene|C0E921ECAEE12DEC32A5DEE866762D6971360FA1]] and [[gene|D169C58739F17EE0D341D015592FF07CBBE1B6E1]]",regulation of As (III) efflux,transcriptional repressor ([wiki|ArsR family])
BSU_38530,dltD,"D-alanine transfer from undecaprenol-phosphate to the poly(glycerophosphate) chain,alanylation of teichoic acid provides some resistance against positively charged antimicrobial peptides",biosynthesis of teichoic acid,D-alanine transfer from undecaprenol-phosphate to the poly(glycerophosphate) chain
BSU_00730,cysK,"cysteine synthase,trigger enzyme",biosynthesis of cysteine,control of [[protein|50930C56C27D22715620A350220E3C56ADB41020]] activity
BSU_24420,spoIIIAB,"component of the [[protein|SpoIIIA]]-[[protein|SpoIIQ ]]type III secretion system residing in the forespore membrane,required for [[protein|SigG ]]activation",activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]],component of a type III secretion system
BSU_19000,yobL,"LXG toxin,non-specific metal-dependent RNase",competetion with other bacteria in biofilms,LXG toxin
BSU_12440,phrA,"response regulator aspartate phosphatase ([[protein|25D89EF3C4D57B3E6F9AB0210029651F74356906]]) inhibitor,control of the [wiki|phosphorelay]",control of [wiki|sporulation] initiation,phosphatase ([[protein|25D89EF3C4D57B3E6F9AB0210029651F74356906]]) inhibitor
BSU_24700,comGD,"DNA transport machinery,minor pseudopilin",genetic competence,DNA uptake
BSU_02850,znuA,"high-affinity [wiki|ABC transporter] for zinc (binding protein,lipoprotein)",zinc uptake,[wiki|ABC transporter] for zinc (binding protein)
BSU_35670,gtaB,"major vegetative UTP-glucose-1-phosphate uridylyltransferase,general stress protein",biosynthesis of teichoic acid,UTP-glucose-1-phosphate uridylyltransferase
BSU_02740,natR,"two-component response regulator,regulation of the [[gene|B019FD0CB6F76C03DA5E76ABD1B324BA5E1A6936]]-[[gene|natB ]]operon",regulation of the [[gene|B019FD0CB6F76C03DA5E76ABD1B324BA5E1A6936]]-[[gene|natB ]]operon,two-component response regulator
BSU_15180,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",peptidoglycan precursor biosynthesis,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2
BSU_34160,ganS,"galactotriose [wiki|ABC transporter],binding protein",uptake of galactotriose,galactotriose [wiki|ABC transporter]
