old_locus_tag,locus_tag,Gene product,gene name,Functional class,Functional colour,Transcriptome p-adj value , Transcriptome log2fold change in 630?erm?spo0A, Proteome log2fold change in 630?erm?spo0A,Mature spore proteome (PMID:19542279)
CD3133,CD630_31330,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,0.0022,0.8816,not detected,not detected
CD3134,CD630_31340,"PTS system, fructose-like IIABC component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3135,CD630_31350,putative fructose-1-6-bisphosphate aldolase,,3.4.3,6,not significant,not significant,not detected,not detected
CD3136,CD630_31360,"6-phospho-beta-glucosidase, bglA7",bglA7,3.4.3,6,8.19E-06,-2.3911,-0.5172,not detected
CD3137,CD630_31370,"PTS system, beta-glucoside-specific IIABC component, bglF5",bglF5,1.5.3,3,5.31E-09,-2.6716,-1.4525,not detected
CD3138,CD630_31380,"Transcription antiterminator, PTS operon regulator, bglG4",bglG4,6.5.0,9,3.44E-08,-1.4331,-0.681,not detected
CD3138A,CD630_31381,Fragment of putative phage transcriptional regulator (C-terminal region),,6.5.0,11,not significant,not significant,not detected,not detected
CD3138B,CD630_31382,Fragment of conserved hypothetical protein (Central region),,0.0.2,11,not significant,not significant,not detected,not detected
CD3139,CD630_31390,"Transcriptional regulator, Phage-type",,6.5.0,9,not significant,not significant,not detected,not detected
CD3140,CD630_31400,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3141,CD630_31410,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3143,CD630_31430,putative ThiJ/pfpI family protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD3144,CD630_31440,"Transcriptional regulator, DeoR family",,6.3.10,9,not significant,not significant,not detected,not detected
CD3145,CD630_31450,putative serine-aspartate repeat-containing protein SdrF,,5.1.5,0,4.67E-15,-1.842,not detected,not detected
CD3146,CD630_31460,Fragment of putative sortase B,,4.1.8,11,not significant,not significant,not detected,not detected
CD3146A,CD630_31461,"Fragment of putative transposase, IS4 family (C-terminal region)",,5.1.4,11,not significant,not significant,not detected,not detected
CD3147,CD630_31470,putative DNA-methyltransferase,,2.2.3,2,not significant,not significant,not detected,not detected
CD3148,CD630_31480,Hypothetical protein,,0.0.0,8,not significant,not significant,not detected,not detected
CD3149,CD630_31490,DNA helicase,,2.2.3,2,not significant,not significant,-0.1786,not detected
CD3150,CD630_31500,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.054,not detected
CD3150A,CD630_31501,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3151,CD630_31510,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD3152,CD630_31520,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3152A,CD630_31521,"Transcriptional regulator, Phage-type",,5.1.2,12,not significant,not significant,not detected,not detected
CD3153,CD630_31530,"Transcriptional regulator, Phage-type",,5.1.2,12,not significant,not significant,not detected,not detected
CD3153A,CD630_31531,Fragment of putative phage protein (N-terminal region),,5.1.2,11,not significant,not significant,not detected,not detected
CD3154,CD630_31540,"Transcriptional regulator, Phage-type",,5.1.2,12,not significant,not significant,not detected,not detected
CD3155,CD630_31550,putative Fic/Doc-related protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD3156,CD630_31560,phage integrase,,5.1.2,12,not significant,not significant,not detected,not detected
CD3156A,CD630_31561,Fragment of conserved hypothetical protein,,0.0.2,11,not significant,not significant,not detected,not detected
CD3156B,CD630_31562,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3156C,CD630_31563,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3157,CD630_31570,SsrA-binding protein,smpB,2.2.10,2,not significant,not significant,-0.1501,detected
CD3158,CD630_31580,"Transcriptional regulator, TRAP family",,6.5.0,9,1.39E-17,2.2185,1.7706,detected
CD3159,CD630_31590,putative FemA-like peptidoglycan biosynthesis protein,,4.1.5,3,not significant,not significant,not detected,not detected
CD3160,CD630_31600,"ABC-type transport system, multidrug-family permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD3161,CD630_31610,"ABC-type transport system, multidrug-family permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD3162,CD630_31620,"ABC-type transport system, multidrug-family ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD3163,CD630_31630,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3164,CD630_31640,Ribonuclease R,rnr,2.1.2,5,not significant,not significant,0.2944,detected
CD3165,CD630_31650,uncharacterised protein,,7.0.0,13,3.35E-05,1.244,not detected,not detected
CD3166,CD630_31660,"Transcriptional regulator, hxlR family",,6.5.0,9,0.0037,1.0367,not detected,not detected
CD3167,CD630_31670,putative phosphatidylethanolamine-binding regulatory protein,,7.0.0,13,not significant,not significant,0.0173,not detected
CD3168,CD630_31680,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3169,CD630_31690,putative malate transporter,,1.5.3,3,not significant,not significant,not detected,not detected
CD3169A,CD630_31691,Protein-export membrane protein SecG,secG,1.5.5,3,not significant,not significant,not detected,not detected
CD3170,CD630_31700,Enolase (2-phosphoglycerate dehydratase) (2-phospho-D-glycerate hydro-lyase),eno,3.5.5,1,not significant,not significant,-0.1095,detected
CD3171,CD630_31710,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (Phosphoglyceromutase) (BPG-independent PGAM) (iPGM)",gpmI,3.5.5,1,not significant,not significant,-0.0886,detected
CD3172,CD630_31720,Triosephosphate isomerase (TIM) (Triose-phosphate isomerase),tpi,3.5.5,1,not significant,not significant,-0.1986,not detected
CD3173,CD630_31730,Phosphoglycerate kinase,pgk,3.5.5,1,not significant,not significant,-0.092,detected
CD3174,CD630_31740,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH),gapA,3.5.5,1,7.93E-07,-0.9443,-0.197,detected
CD3175,CD630_31750,"Transcriptional regulator, SorC family",cggR,6.5.0,9,0.0008,-0.7393,-0.0292,not detected
CD3176,CD630_31760,RNA polymerase sigma-54 factor,rpoN,6.2.1,9,not significant,not significant,0.36,not detected
CD3177,CD630_31770,putative xanthine dehydrogenase,,3.4.5,6,not significant,not significant,not detected,not detected
CD3178,CD630_31780,D-hydantoinase (Dihydropyrimidinase),,3.4.5,6,not significant,not significant,not detected,not detected
CD3179,CD630_31790,"Dihydroorotate dehydrogenase, catalytic subunit",pyrD2,3.7.2,7,not significant,not significant,-0.1151,not detected
CD3180,CD630_31800,putative purine permease,,1.5.5,3,not significant,not significant,not detected,not detected
CD3181,CD630_31810,putative amidohydrolase,,3.4.5,6,not significant,not significant,not detected,not detected
CD3182,CD630_31820,putative D-aminoacylase,,3.4.5,6,not significant,not significant,not detected,not detected
CD3183,CD630_31830,"putative peptidase, M20 family",,2.1.4,5,not significant,not significant,-0.2813,not detected
CD3184,CD630_31840,Diaminopropionate ammonia-lyase,dpaL1,3.4.5,6,not significant,not significant,-0.2452,not detected
CD3185,CD630_31850,Fragment of putative RNA-binding protein,,2.2.11,11,not significant,not significant,not detected,not detected
CD3186,CD630_31860,"Transcriptional regulator, sigma-54-dependent",,6.5.0,9,not significant,not significant,-0.2176,not detected
CD3187,CD630_31870,putative regulatory endoribonuclease,tdcF,2.1.2,5,not significant,not significant,not detected,not detected
CD3187A,CD630_31871,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3188,CD630_31880,uncharacterised protein,,7.0.0,13,not significant,not significant,-0.9673,not detected
CD3189,CD630_31890,putative NADPH-dependent FMN reductase,,3.5.3,1,not significant,not significant,not detected,not detected
CD3190,CD630_31900,"Transcriptional regulator, MerR family",,6.3.12,9,not significant,not significant,not detected,not detected
CD3191,CD630_31910,putative oxidoreductase,,3.5.3,1,not significant,not significant,not detected,not detected
CD3192,CD630_31920,"putative cell surface peptidase, M4 family - cwp20",cwp21,2.1.4,5,not significant,not significant,-0.2795,not detected
CD3193,CD630_31930,putative phage-related protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD3194,CD630_31940,"Transcriptional regulator, AraC family",,6.3.2,9,not significant,not significant,not detected,not detected
CD3195,CD630_31950,putative UvrABC system protein A 2 (UvrA protein 2) (Excinuclease ABC subunit A 2),,2.2.3,2,not significant,not significant,not detected,not detected
CD3196,CD630_31960,putative penicillin-binding protein,,1.4.3,0,not significant,not significant,not detected,not detected
CD3197,CD630_31970,"Transcriptional regulator, MerR family",,6.3.12,9,not significant,not significant,not detected,not detected
CD3198,CD630_31980,"Multidrug resistance protein Cme; Transporter,Major Facilitator Superfamily (MFS)",cme,1.4.2,0,not significant,not significant,not detected,not detected
CD3199,CD630_31990,"ABC-type transport system, multidrug-family permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD3200,CD630_32000,"ABC-type transport system, multidrug-family permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD3201,CD630_32010,"ABC-type transport system, multidrug-family ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD3202,CD630_32020,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD3203,CD630_32030,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD3204,CD630_32040,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3205,CD630_32050,putative nitroreductase,,7.0.0,13,not significant,not significant,-0.0424,not detected
CD3206,CD630_32060,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3207,CD630_32070,"putative multi antimicrobial extrusion protein,MatE family",,1.4.3,3,not significant,not significant,not detected,not detected
CD3208,CD630_32080,"Transcriptional regulator, MarR family",,6.3.7,9,not significant,not significant,not detected,not detected
CD3209,CD630_32090,"Transcriptional regulator, PadR family",,6.3.14,9,not significant,not significant,not detected,not detected
CD3210,CD630_32100,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3211,CD630_32110,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.2289,not detected
CD3212,CD630_32120,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3213,CD630_32130,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3214,CD630_32140,"Transcriptional regulator, AraC family",,6.3.2,9,not significant,not significant,not detected,not detected
CD3215,CD630_32150,"ABC-type transport system, glycine betaine/carnitine/choline ATP-binding protein",,1.6.2,0,not significant,not significant,not detected,not detected
CD3216,CD630_32160,"ABC-type transport system, glycine betaine/carnitine/choline permease",,1.6.2,0,not significant,not significant,not detected,not detected
CD3217,CD630_32170,"ABC-type transport system, ATP-binding protein",,1.4.2,0,not significant,not significant,not detected,not detected
CD3218,CD630_32180,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3219,CD630_32190,33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33),hslO,1.3.1,0,not significant,not significant,-0.176,not detected
CD3220,CD630_32200,putative methyltransferase,,7.0.0,13,not significant,not significant,1.4946,not detected
CD3220A,CD630_32201,Small acid-soluble spore protein,,1.8.1,0,not significant,not significant,not detected,detected
CD3221,CD630_32210,"putative peptidase, M20D family",,2.1.4,5,not significant,not significant,-0.5513,detected
CD3222,CD630_32220,L-serine dehydratase,sdaB,3.3.4,7,not significant,not significant,0.0793,detected
CD3223,CD630_32230,Dihydrodipicolinate synthase 2,dapA2,3.1.13,7,not significant,not significant,-0.0455,detected
CD3224,CD630_32240,Aspartate-semialdehyde dehydrogenase,asd,3.1.4,7,not significant,not significant,-0.3002,not detected
CD3225,CD630_32250,Dihydrodipicolinate synthase 3,dapA3,3.1.13,7,not significant,not significant,-0.0725,detected
CD3226,CD630_32260,Dihydrodipicolinate reductase 1 (DHPR 1),dapB1,3.1.13,7,not significant,not significant,-0.0102,not detected
CD3227,CD630_32270,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",dapH,3.1.13,7,not significant,not significant,-0.3216,detected
